scope,key,shared,en,ru
site,site.sections.demoPresentationEnter,,Presentation View,Режим показа
site,site.sections.demoPresentationExit,,Exit Presentation View,Выйти из режима показа
site,site.sections.demoQualityLabel,,Demo quality,Режим качества
site,site.sections.demoQualityCopy,,"Sharper modes increase internal canvas resolution and can cost FPS.","Более резкие режимы поднимают внутреннее разрешение canvas и могут снижать FPS."
site,site.sections.demoQualityPerformance,,Performance,Быстрее
site,site.sections.demoQualityBalanced,,Balanced,Баланс
site,site.sections.demoQualityQuality,,Quality,Четче
site,site.sections.demoQualityNote,,"Balanced is the safest presentation default.","Balanced — самый безопасный режим для показа."
site,site.sections.demoQualityNoteLive,,"If the runtime is already live, reload the page after switching profiles for a clean resize.","Если runtime уже запущен, после смены профиля перезагрузи страницу для чистого ресайза."
site,site.htmlLang,,en,ru
site,site.title,,LearningArchitect | Architecture Review In The Browser,LearningArchitect | Интерактивный архитектурный showcase
site,site.description,,"LearningArchitect is a browser-based Unity showcase for discussing runtime architecture, stress scaling, and implementation trade-offs in one guided review flow.","LearningArchitect — это Unity showcase для сравнения runtime-стратегий, stress preset'ов и архитектурных компромиссов в одной общей оболочке."
site,site.nav.modules,,Modules,Модули
site,site.nav.architecture,,Architecture Notes,Архитектура
site,site.nav.demo,,Live Demo,Демо
site,site.hero.eyebrow,,Unity architecture review in the browser,Интерактивный Unity Architecture Showcase
site,site.hero.title,,Talk through trade-offs in one browser session.,Trade‑offs прямо в браузере.
site,site.hero.summary,,"Set the context, open the demo, and compare implementation choices without leaving the page.",Запусти WebGL и сравнивай решения на одной странице.
site,site.hero.demoCta,,Launch Demo,Запустить демо
site,site.hero.architectureCta,,Architecture Notes,Заметки по архитектуре
site,site.hero.sourceCta,,Source on GitHub,Исходники на GitHub
site,site.hero.chips[0],,7 modules,7 модулей
site,site.hero.chips[1],,15 variants,15 вариантов
site,site.hero.chips[2],,Shared stress presets,Общие stress preset'ы
site,site.hero.chips[3],,WebGL review flow,WebGL portfolio shell
site,site.hero.demoBadgeLabel,,WebGL,WebGL
site,site.hero.demoBadgeValue,,Ready,Готово
site,site.hero.panelLabel,,Why this works in interviews,Почему это удобно для собеседований
site,site.hero.points[0],,The reviewer gets the framing before the Unity loader takes over.,"Контекст можно прочитать до того, как Unity loader займёт экран."
site,site.hero.points[1],,The same shell keeps module and stress comparisons consistent.,Одна и та же оболочка держит сравнение модулей и stress preset'ов единым.
site,site.hero.points[2],,Architecture notes and source stay one click away during the walkthrough.,Архитектурные заметки и код остаются рядом во время показа.
site,site.hero.stats.modules,,Modules,Модулей
site,site.hero.stats.variants,,Variants,Вариантов
site,site.hero.stats.runtime,,Shared Runtime,Общий runtime
site,site.hero.stats.languages,,Languages,Языка
site,site.sections.whatEyebrow,,What The Reviewer Sees,Что Это Показывает
site,site.sections.whatTitle,,"A controlled architecture comparison, not a pile of unrelated scenes.","Сравнение архитектуры, а не набор отдельных сцен."
site,site.sections.whatFocusLabel,,Focus here,Фокус Здесь
site,site.sections.whatFocusCopy,,"Track what stays constant across every module: one shell, one preset flow, one comparison surface.","Здесь важно заметить, что остаётся неизменным у всех модулей: одна оболочка, один preset flow, одна поверхность сравнения."
site,site.sections.insights[0].title,,Comparable runtime pressure,Сопоставимое давление на runtime
site,site.sections.insights[0].copy,,"Each module goes through the same shell, stress presets, and metrics surface, so differences point back to architecture rather than presentation drift.","Каждый модуль проходит через одну и ту же оболочку, stress preset'ы и поверхность метрик, поэтому различия видны именно в архитектуре."
site,site.sections.insights[1].title,,Pattern and domain range,Широкий охват паттернов и доменов
site,site.sections.insights[1].copy,,"The showcase spans AI, pooling, update loops, inventory, animation, VFX delivery, and effect simulation instead of repeating one narrow optimization story.","Showcase охватывает AI, pooling, update loops, inventory, animation, VFX delivery и effect simulation вместо одной узкой истории про оптимизацию."
site,site.sections.insights[2].title,,Data-driven authoring,Data-driven авторинг
site,site.sections.insights[2].copy,,"Modules and variants are described through ScriptableObject assets, so the showcase grows by adding data instead of scene-specific wiring.","Модули и варианты связываются через ScriptableObject assets, поэтому проект проще расширять без scene-specific логики."
site,site.sections.insights[3].title,,Interview-ready presentation,Упаковка под портфолио
site,site.sections.insights[3].copy,,The browser entry page tells the reviewer what to inspect before the WebGL runtime starts.,"Стартовая страница объясняет, на что смотреть, ещё до запуска WebGL runtime."
site,site.sections.modulesEyebrow,,Module Explorer,Обзор Модулей
site,site.sections.modulesTitle,,Pick the best entry point before you open the demo.,Выбери сильный пример перед live-клиентом.
